year,collect_location,travel_miles_class,travel_alone,cost_cover,classification,education,age,gender,A_dollars_accept,B_wtp_workshop,topic1_before,topic1_after,topic2_before,topic2_after,topic3_before,topic3_after,topic4_before,topic4_after,overall_after,cattle_handling_be,cattle_handling_af,bull_exam_be,bull_exam_af,vaccine_be,vaccine_af,heifer_be,heifer_af,breeding_be,breeding_af,testing_be,testing_af,marketing_be,marketing_af,class_improve_reality,class_influence_future
2020,small_town,10,self,.,Interested in Farming Someday,Bachelor Degree,35-44 yrs,Female,50,.,3,4,3,4,3,4,1,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,No change/ Undecided
2020,small_town,40,self,.,Other,Some Technical College,55-64 yrs,Male,500,.,.,.,1,4,1,2,2,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2020,small_town,30,1 other,.,Interested in Farming Someday,Associates Degree,25-34 yrs,Male,500,.,1,3,3,4,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2020,small_town,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2021,small_town,46,2 other,.,Interested in Farming Someday,High School,< 20 yrs,Male,125,30,3,4,3,4,3,4,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Definitely like to start some day
2021,small_town,30,self,.,Interested in Farming Someday,Some Technical College,>= 65 yrs,Male,71.5,71.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Definitely like to start some day
2021,small_town,25,self,.,Been Farming less than 10 years,High School,35-44 yrs,Male,500,.,.,.,1,2,1,3,3,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Maybe,Solidified current commitment to farming
2021,small_town,110,self,.,Been Farming for more than 10 years,Bachelor Degree,>= 65 yrs,Male,71.5,42,3,4,4,5,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2021,small_town,17,self,.,Been Farming less than 10 years,Some Technical College,35-44 yrs,Female,50,50,2,5,1,4,1,4,2,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2021,small_town,4,1 other,.,Been Farming less than 10 years,Some Technical College,25-34 yrs,Female,500,100,.,.,2,4,2,4,2,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2021,small_town,5,1 other,.,Been Farming less than 10 years,Some Technical College,35-44 yrs,Female,500,100,3,4,2,4,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2021,small_town,5,1 other,.,Interested in Farming Someday,Associates Degree,55-64 yrs,Male,250,250,3,.,1,2,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2021,small_town,6,1 other,.,Been Farming less than 10 years,Some Technical College,45-54 yrs,Male,250,.,2,3,3,4,3,4,2,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2021,small_town,17,1 other,.,Been Farming for more than 10 years,Bachelor Degree,35-44 yrs,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,small_town,50,1 other,.,Interested in Farming Someday,Associates Degree,25-34 yrs,Male,500,25,1,2,1,2,1,3,2,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,No change/ Undecided
2021,small_town,50,1 other,.,Been Farming less than 10 years,Graduate Degree,55-64 yrs,Male,500,.,1,4,1,4,1,4,1,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2021,small_town,6,1 other,.,Been Farming less than 10 years,High School,< 20 yrs,Male,250,250,1,3,1,4,1,3,1,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2021,small_town,10,self,.,Interested in Farming Someday,Bachelor Degree,35-44 yrs,Female,500,100,2,4,2,4,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,No change/ Undecided
2021,small_town,10,1 other,.,Been Farming less than 10 years,Some Technical College,45-54 yrs,Male,500,25,2,2,2,2,2,3,2,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Definitely like to start some day
2021,small_town,10,1 other,.,"Other, I have a garden",Bachelor Degree,55-64 yrs,Female,500,25,2,2,2,2,2,3,1,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Definitely like to start some day
2021,small_town,5,self,.,"other, more info",Graduate Degree,55-64 yrs,Female,100,20,2,3,2,3,2,3,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,No change/ Undecided
2021,small_town,48,self,.,"other, farm/ranch working past",Graduate Degree,>= 65 yrs,Male,500,25,.,.,2,4,2,4,2,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2021,small_town,46,2 other,.,"other, educational",Some Technical College,55-64 yrs,Female,250,50,1,3,1,4,1,1,1,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2021,small_town,46,2 other,.,Interested in Farming Someday,High School,< 20 yrs,Male,500,50,1,2,1,3,1,2,1,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,No change/ Undecided
2021,rural_area,250,self,By myself,Interested in Ranching Someday,Bachelor Degree,25-34 yrs,Male,500,40,.,.,.,.,.,.,.,.,5,1,3,1,3,1,3,1,3,1,4,1,3,1,3,Definitely,Definitely like to start some day
2021,rural_area,80,self,By myself,Been Ranching less than 10 years,Associates Degree,45-54 yrs,Male,500,250,.,.,.,.,.,.,.,.,5,1,3,1,3,1,3,1,3,1,3,1,3,1,3,Definitely,Solidified current commitment to farming
2021,rural_area,200,2 other,By myself,"Other, 40 years",.,>= 65 yrs,.,50,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,rural_area,125,1 other,By myself,Been Ranching for more than 10 years,Some Technical College,45-54 yrs,Male,500,50,.,.,.,.,.,.,.,.,4,3,5,2,3,2,4,2,.,2,3,1,4,2,.,Definitely,Solidified current commitment to farming
2021,rural_area,156,self,By myself,"Other, Veternaran",Graduate Degree,25-34 yrs,Female,250,50,.,.,.,.,.,.,.,.,4,5,5,5,5,5,5,4,5,4,5,5,5,3,5,Probably,Definitely like to start some day
2021,rural_area,150,self,By myself,Been Ranching for more than 10 years,Associates Degree,>= 65 yrs,Female,100,30,.,.,.,.,.,.,.,.,.,3,4,.,.,3,4,.,.,3,4,1,4,1,4,Maybe,Solidified current commitment to farming
2021,rural_area,239,1 other,By myself,Been Ranching less than 10 years,Associates Degree,35-44 yrs,Male,500,100,.,.,.,.,.,.,.,.,.,2,5,1,3,.,.,1,4,1,3,1,4,1,2,Definitely,Solidified current commitment to farming
2021,rural_area,239,1 other,By myself,Been Ranching less than 10 years,High School,25-34 yrs,Female,500,100,.,.,.,.,.,.,.,.,.,4,.,5,.,5,.,5,.,3,.,5,.,5,.,Definitely,Solidified current commitment to farming
2021,rural_area,175,self,By an organization or employer,Been Ranching for more than 10 years,Associates Degree,>= 65 yrs,Male,500,125,.,.,.,.,.,.,.,.,4,2,4,1,4,2,4,2,4,2,4,1,5,2,4,Definitely,Solidified current commitment to farming
2021,rural_area,75,self,By an organization or employer,Been Ranching for more than 10 years,Associates Degree,>= 65 yrs,Male,500,50,.,.,.,.,.,.,.,.,4,3,4,3,4,3,4,2,4,3,3,1,3,3,.,Definitely,Solidified current commitment to farming
2021,rural_area,77,2 other,By other family members,Interested in Ranching Someday,High School,< 20 yrs,Female,250,50,.,.,.,.,.,.,.,.,4,2,5,1,4,1,3,1,5,2,4,1,4,1,4,Definitely,Definitely like to start some day
2021,rural_area,77,2 other,By myself,Been Ranching less than 10 years,Associates Degree,35-44 yrs,Female,250,50,.,.,.,.,.,.,.,.,4,2,5,1,4,2,4,2,4,1,4,1,4,1,4,Definitely,Definitely like to start some day
2021,rural_area,77,2 other,By myself,Been Ranching less than 10 years,Associates Degree,35-44 yrs,Male,250,50,.,.,.,.,.,.,.,.,4,2,3,1,3,1,3,2,4,2,3,2,4,2,3,Probably,Solidified current commitment to farming
2021,rural_area,120,self,By myself,Been Ranching for more than 10 years,Associates Degree,>= 65 yrs,Male,50,50,.,.,.,.,.,.,.,.,4,2,3,3,4,1,3,3,4,2,3,1,3,2,4,Probably,Solidified current commitment to farming
2021,rural_area,60,self,By myself,Been Ranching for more than 10 years,Bachelor Degree,45-54 yrs,Female,500,100,.,.,.,.,.,.,.,.,4,3,5,1,3,1,3,1,3,2,4,1,3,1,4,Definitely,Definitely like to start some day
2021,rural_area,120,2 other,By myself,Been Ranching for more than 10 years,Graduate Degree,55-64 yrs,Female,100,100,.,.,.,.,.,.,.,.,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,Definitely,Solidified current commitment to farming
2021,rural_area,140,>= 3 other,By myself,Been Ranching for more than 10 years,Some Technical College,35-44 yrs,Male,100,75,.,.,.,.,.,.,.,.,4,3,4,2,3,3,4,2,3,2,3,1,3,2,3,Definitely,Solidified current commitment to farming
2021,rural_area,46.7,>= 3 other,By myself,Other,Graduate Degree,35-44 yrs,Other,71.5,10,.,.,.,.,.,.,.,.,2,5,5,2,2,3,3,2,2,2,2,2,2,2,2,Probably,Solidified current commitment to farming
2021,rural_area,55,1 other,By an organization or employer,Interested in Ranching Someday,Bachelor Degree,35-44 yrs,Female,500,100,.,.,.,.,.,.,.,.,4,2,3,1,3,1,2,2,3,2,3,1,2,2,3,Definitely,Solidified current commitment to farming
2021,rural_area,50,1 other,By an organization or employer,Interested in Ranching Someday,Bachelor Degree,35-44 yrs,Female,500,100,.,.,.,.,.,.,.,.,5,2,3,1,3,1,2,2,3,3,4,2,4,1,3,Definitely,Definitely like to start some day
2021,rural_area,121,1 other,By myself,Interested in Ranching Someday,High School,55-64 yrs,Male,500,100,.,.,.,.,.,.,.,.,5,1,4,1,4,1,4,3,5,1,4,1,4,1,4,Definitely,Definitely like to start some day
2021,rural_area,121,1 other,By myself,Interested in Ranching Someday,Some Technical College,55-64 yrs,Female,500,100,.,.,.,.,.,.,.,.,5,1,5,1,3,1,4,1,4,1,4,1,5,1,5,Definitely,Definitely like to start some day
2021,rural_area,445,2 other,By an organization or employer,"Other, Starting 2.5 years",.,>= 65 yrs,Male,.,25,.,.,.,.,.,.,.,.,.,2,.,1,.,2,.,2,.,2,.,1,.,1,.,Probably,Solidified current commitment to farming
2021,rural_area,440,2 other,By an organization or employer,Been Ranching for more than 10 years,High School,55-64 yrs,Male,100,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Maybe,Solidified current commitment to farming
2021,rural_area,157,2 other,By myself,Been Ranching less than 10 years,Associates Degree,25-34 yrs,Female,250,35,.,.,.,.,.,.,.,.,5,4,4,1,5,2,3,2,4,4,4,3,4,1,3,Definitely,Solidified current commitment to farming
2021,rural_area,89,2 other,By myself,Been Ranching for more than 10 years,Bachelor Degree,25-34 yrs,Female,71.5,50,.,.,.,.,.,.,.,.,4,4,4,.,.,.,.,3,4,4,4,3,4,4,4,Definitely,Solidified current commitment to farming
2021,rural_area,85,self,By myself,Been Ranching less than 10 years,High School,45-54 yrs,Male,125,125,.,.,.,.,.,.,.,.,4,5,5,2,4,3,4,2,5,3,3,2,5,2,4,Definitely,Solidified current commitment to farming
2021,rural_area,400,>= 3 other,By an organization or employer,Been Ranching for more than 10 years,High School,55-64 yrs,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,rural_area,140,self,By myself,Been Ranching less than 10 years,Associates Degree,35-44 yrs,Female,.,.,.,.,.,.,.,.,.,.,5,3,5,2,5,3,5,2,5,1,5,2,5,1,5,Definitely,Solidified current commitment to farming
2021,rural_area,150,1 other,By other family members,Been Ranching for more than 10 years,Some Technical College,45-54 yrs,Male,250,.,.,.,.,.,.,.,.,.,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,Definitely,Solidified current commitment to farming
2021,rural_area,150,1 other,By other family members,Been Ranching for more than 10 years,Associates Degree,55-64 yrs,Female,250,.,.,.,.,.,.,.,.,.,4,2,4,1,4,3,4,2,3,3,4,3,3,2,4,Definitely,Solidified current commitment to farming
2021,rural_area,150,>= 3 other,By an organization or employer,Interested in Ranching Someday,High School,55-64 yrs,Male,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,rural_area,70,1 other,By other family members,Been Ranching for more than 10 years,Some Technical College,45-54 yrs,Male,.,10,.,.,.,.,.,.,.,.,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,Definitely,Solidified current commitment to farming
2021,rural_area,295,2 other,By other family members,Been Ranching less than 10 years,High School,45-54 yrs,Male,250,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,.,4,Definitely,Solidified current commitment to farming
2021,rural_area,295,2 other,By myself,Been Ranching for more than 10 years,Bachelor Degree,45-54 yrs,Female,250,.,.,.,.,.,.,.,.,.,4,2,3,2,3,1,2,1,2,1,2,1,2,1,2,Definitely,Solidified current commitment to farming
2021,rural_area,119,self,By myself,Been Ranching for more than 10 years,Bachelor Degree,55-64 yrs,Female,50,.,.,.,.,.,.,.,.,.,5,4,5,1,4,4,5,1,4,3,4,1,4,2,4,Definitely,Solidified current commitment to farming
2021,rural_area,150,self,By myself,Been Ranching less than 10 years,High School,55-64 yrs,Male,100,.,.,.,.,.,.,.,.,.,.,4,.,4,.,4,.,4,.,4,.,4,.,4,.,Definitely,Solidified current commitment to farming
2021,rural_area,445,2 other,By an organization or employer,Interested in Ranching Someday,High School,55-64 yrs,Male,71.5,.,.,.,.,.,.,.,.,.,4,4,5,2,3,.,3,3,4,2,2,.,3,2,2,Probably,No change/ Undecided
2021,rural_area,200,self,By myself,Been Ranching less than 10 years,.,45-54 yrs,Female,100,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2021,rural_area,120,1 other,By myself,Been Ranching for more than 10 years,High School,55-64 yrs,Male,100,.,.,.,.,.,.,.,.,.,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,Definitely,Solidified current commitment to farming
2021,rural_area,130,self,By myself,Been Ranching less than 10 years,Bachelor Degree,35-44 yrs,Male,100,.,.,.,.,.,.,.,.,.,5,4,4,1,3,2,3,2,3,2,3,1,4,2,4,Definitely,Solidified current commitment to farming
2021,rural_area,10.45,2 other,By myself,Interested in Ranching Someday,High School,55-64 yrs,Male,71.5,.,.,.,.,.,.,.,.,.,4,4,5,2,3,.,3,3,4,.,2,2,3,2,4,Probably,No change/ Undecided
2021,rural_area,120,self,By an organization or employer,Interested in Ranching Someday,Bachelor Degree,55-64 yrs,Male,500,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,Definitely,Definitely like to start some day
2021,rural_area,100,>= 3 other,By an organization or employer,Interested in Ranching Someday,High School,45-54 yrs,Male,50,.,.,.,.,.,.,.,.,.,3,3,4,2,3,2,3,2,3,2,3,2,3,2,4,Probably,Definitely like to start some day
2021,rural_area,200,>= 3 other,By an organization or employer,Been Ranching less than 10 years,Some Technical College,35-44 yrs,Male,50,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Definitely,Definitely like to start some day
2021,rural_area,200,>= 3 other,By an organization or employer,Been Ranching for more than 10 years,High School,45-54 yrs,Male,50,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,.,3,3,3,Definitely,Solidified current commitment to farming
2021,rural_area,.,.,.,.,High School,.,Male,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,.
